timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1595243136139,567,POST Login PT,500,Internal Server Error,Thread Group 1-6,text,false,,15021,297,381,381,http://localhost:8084/PersonalTrainer/api/login,567,0,76
1595243136200,508,POST Login PT,500,Internal Server Error,Thread Group 1-242,text,false,,11739,298,380,380,http://localhost:8084/PersonalTrainer/api/login,508,0,21
1595243136145,563,POST Login PT,500,Internal Server Error,Thread Group 1-114,text,false,,11739,298,379,379,http://localhost:8084/PersonalTrainer/api/login,563,0,77
1595243136204,506,POST Login PT,500,Internal Server Error,Thread Group 1-257,text,false,,11739,298,379,379,http://localhost:8084/PersonalTrainer/api/login,506,0,17
1595243136149,563,POST Login PT,500,Internal Server Error,Thread Group 1-72,text,false,,11739,297,380,380,http://localhost:8084/PersonalTrainer/api/login,563,0,72
1595243136154,560,POST Login PT,500,Internal Server Error,Thread Group 1-139,text,false,,11739,298,381,381,http://localhost:8084/PersonalTrainer/api/login,560,0,70
1595243136160,555,POST Login PT,500,Internal Server Error,Thread Group 1-20,text,false,,11739,296,380,380,http://localhost:8084/PersonalTrainer/api/login,555,0,63
1595243136195,524,POST Login PT,500,Internal Server Error,Thread Group 1-232,text,false,,15021,298,380,380,http://localhost:8084/PersonalTrainer/api/login,524,0,25
1595243136153,571,POST Login PT,500,Internal Server Error,Thread Group 1-43,text,false,,13832,297,380,380,http://localhost:8084/PersonalTrainer/api/login,571,0,70
1595243136145,584,POST Login PT,500,Internal Server Error,Thread Group 1-121,text,false,,11739,298,384,384,http://localhost:8084/PersonalTrainer/api/login,584,0,78
1595243136154,583,POST Login PT,500,Internal Server Error,Thread Group 1-97,text,false,,11739,297,387,387,http://localhost:8084/PersonalTrainer/api/login,583,0,69
1595243136153,597,POST Login PT,500,Internal Server Error,Thread Group 1-38,text,false,,11739,297,396,396,http://localhost:8084/PersonalTrainer/api/login,597,0,73
1595243136154,601,POST Login PT,500,Internal Server Error,Thread Group 1-95,text,false,,11739,297,398,398,http://localhost:8084/PersonalTrainer/api/login,601,0,73
1595243136156,601,POST Login PT,500,Internal Server Error,Thread Group 1-94,text,false,,11739,297,398,398,http://localhost:8084/PersonalTrainer/api/login,601,0,70
1595243136157,603,POST Login PT,500,Internal Server Error,Thread Group 1-167,text,false,,11739,298,397,397,http://localhost:8084/PersonalTrainer/api/login,603,0,70
1595243136154,608,POST Login PT,500,Internal Server Error,Thread Group 1-79,text,false,,11739,297,397,397,http://localhost:8084/PersonalTrainer/api/login,608,0,69
1595243136147,625,POST Login PT,500,Internal Server Error,Thread Group 1-129,text,false,,11739,298,396,396,http://localhost:8084/PersonalTrainer/api/login,625,0,80
1595243136139,646,POST Login PT,500,Internal Server Error,Thread Group 1-108,text,false,,11739,298,403,403,http://localhost:8084/PersonalTrainer/api/login,646,0,87
1595243136154,636,POST Login PT,500,Internal Server Error,Thread Group 1-107,text,false,,11739,298,409,409,http://localhost:8084/PersonalTrainer/api/login,636,0,72
